time,test 1,test 2,test 3,test 4,test 5
time - seconds (computed after test),deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg,deacceleration - kg
0.003279,0.585078134,0.211813211,0.683345871,0.576008332,0.036023743
0.00328,-0.228931866,0.210252211,0.670235871,0.656847832,0.133405343
0.003281,-0.885633866,0.144707211,0.675851871,0.560714732,0.260750943
0.003282,-0.427441866,0.041707161,0.715181871,0.359708332,0.283223743
0.003283,0.033249601,-0.044126089,0.687089871,0.178366332,0.125914143
0.003284,-0.007950266,-0.087822789,0.597199071,0.077863832,-0.076339777
0.003285,-0.373757866,-0.092504789,0.535399071,0.014502982,-0.191200257
0.003286,-0.653417866,-0.061292789,0.475471671,-0.070705988,-0.176218657
0.003287,-0.717089866,-0.059732289,0.366853671,-0.099108768,-0.051370097
0.003288,-0.603477866,-0.083141289,0.198308271,-0.035748408,0.118423743
0.003289,-0.428689866,-0.023838239,0.033508671,0.075678432,0.170859743
0.00329,-0.211453066,0.125979711,-0.058254729,0.160887332,0.036023743
0.003291,0.022013254,0.258631211,-0.082600329,0.215509032,-0.146254657
0.003292,0.129382934,0.352267211,-0.099454929,0.287609032,-0.178715457
0.003293,0.080692134,0.369434211,-0.105072729,0.379372032,-0.068848817
0.003294,0.035746566,0.289843211,-0.048891249,0.399035732,0.118423743
0.003295,0.074449734,0.168116211,0.014781411,0.335675232,0.350641343
0.003296,0.149358534,0.069798211,0.016654131,0.213323632,0.570374943
0.003297,0.153104134,-0.005110989,-0.033909429,0.106266332,0.675246943
0.003298,0.046982934,-0.056610789,-0.091963929,0.080048532,0.622810943
0.003299,-0.084107866,-0.090944289,-0.116309529,0.112821132,0.400580543
0.0033,-0.146531866,-0.108110789,-0.125673129,0.154333232,0.158374943
0.003301,-0.124059466,-0.126838289,-0.155636529,0.189290532,0.028532863
0.003302,-0.101586666,-0.186140789,-0.219309129,0.202399432,0.028532863
0.003303,-0.067877466,-0.248565289,-0.307327329,0.182736432,0.048508543
0.003304,-0.009198666,-0.270413789,-0.352272729,0.080048532,0.036023743
0.003305,0.051976854,-0.290701289,-0.378490929,-0.088184568,0.055999503
0.003306,0.051976854,-0.346883289,-0.391599729,-0.197427268,0.135902143
0.003307,-0.026677466,-0.410867789,-0.376618329,-0.195241868,0.128411743
